track_name,artist,album,genres,popularity,explicit,cover_url
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
In the End,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",87,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Numb,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",86,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
Everlong,Foo Fighters,The Colour And The Shape,"permanent wave, alternative metal, alternative rock, rock, post-grunge, modern rock",81,False,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
How You Remind Me,Nickelback,Silver Side Up,"post-grunge, canadian rock, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c
The Middle,Jimmy Eat World,Bleed American,"neon pop punk, pop rock, alternative metal, pop punk, modern power pop, alternative rock, punk, post-grunge, rock, emo, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
Chop Suey!,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",82,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve and Other Stories,"progressive metal, neo classical metal",77,False,https://i.scdn.co/image/ab67616d0000b273d8c41d1f95369e3658c00d28
Animal I Have Become,Three Days Grace,One-X,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",77,False,https://i.scdn.co/image/ab67616d0000b2739dcf31d6b5eb82fa24de783a
Kryptonite,3 Doors Down,The Better Life,"post-grunge, rock, nu metal, alternative metal",78,False,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
Break Stuff,Limp Bizkit,Significant Other,"alternative metal, funk metal, rock, post-grunge, rap metal, nu metal",80,True,https://i.scdn.co/image/ab67616d0000b2733783782de74f61e36795bf9c
Higher,Creed,Human Clay,"post-grunge, rock, nu metal, alternative metal",76,False,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
I Hate Everything About You,Three Days Grace,Three Days Grace,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",78,False,https://i.scdn.co/image/ab67616d0000b27377922eaa071fb388270f203f
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Toxicity,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Drive,Incubus,Make Yourself,"alternative metal, funk metal, alternative rock, rock, post-grunge, modern rock, nu metal, funk rock",78,False,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
Enter Sandman (Remastered),Metallica,Metallica (Remastered),"metal, hard rock, old school thrash, thrash metal, rock",74,False,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869
Faint,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",83,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
All The Small Things,blink-182,Enema Of The State,"socal pop punk, pop punk, alternative metal, punk, rock, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
Bring Me To Life,Evanescence,Fallen,alternative metal,83,False,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
Paranoid - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),"birmingham metal, hard rock, alternative metal, metal, uk doom metal, rock, classic rock, stoner rock, album rock",73,False,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
Jessie's Girl,Rick Springfield,Working Class Dog,"soft rock, glam metal, hard rock, new wave pop, classic rock, yacht rock, mellow gold, new romantic, australian rock, album rock",74,False,https://i.scdn.co/image/ab67616d0000b2734a57b8b911a372d77dfc1ba7
Let Me Love You,"DJ Snake, Justin Bieber",Encore,"dance pop, pop dance, canadian pop, pop, electronic trap, edm",83,False,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
In the End,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",87,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Numb,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",86,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
Everlong,Foo Fighters,The Colour And The Shape,"permanent wave, alternative metal, alternative rock, rock, post-grunge, modern rock",81,False,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
How You Remind Me,Nickelback,Silver Side Up,"post-grunge, canadian rock, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c
The Middle,Jimmy Eat World,Bleed American,"neon pop punk, pop rock, alternative metal, pop punk, modern power pop, alternative rock, punk, post-grunge, rock, emo, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
Chop Suey!,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",82,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve and Other Stories,"progressive metal, neo classical metal",77,False,https://i.scdn.co/image/ab67616d0000b273d8c41d1f95369e3658c00d28
Animal I Have Become,Three Days Grace,One-X,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",77,False,https://i.scdn.co/image/ab67616d0000b2739dcf31d6b5eb82fa24de783a
Kryptonite,3 Doors Down,The Better Life,"post-grunge, rock, nu metal, alternative metal",78,False,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
Break Stuff,Limp Bizkit,Significant Other,"alternative metal, funk metal, rock, post-grunge, rap metal, nu metal",80,True,https://i.scdn.co/image/ab67616d0000b2733783782de74f61e36795bf9c
Higher,Creed,Human Clay,"post-grunge, rock, nu metal, alternative metal",76,False,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
I Hate Everything About You,Three Days Grace,Three Days Grace,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",78,False,https://i.scdn.co/image/ab67616d0000b27377922eaa071fb388270f203f
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Toxicity,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Drive,Incubus,Make Yourself,"alternative metal, funk metal, alternative rock, rock, post-grunge, modern rock, nu metal, funk rock",78,False,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
Enter Sandman (Remastered),Metallica,Metallica (Remastered),"metal, hard rock, old school thrash, thrash metal, rock",74,False,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869
Faint,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",83,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
All The Small Things,blink-182,Enema Of The State,"socal pop punk, pop punk, alternative metal, punk, rock, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
Bring Me To Life,Evanescence,Fallen,alternative metal,83,False,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
Paranoid - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),"birmingham metal, hard rock, alternative metal, metal, uk doom metal, rock, classic rock, stoner rock, album rock",73,False,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
Jessie's Girl,Rick Springfield,Working Class Dog,"soft rock, glam metal, hard rock, new wave pop, classic rock, yacht rock, mellow gold, new romantic, australian rock, album rock",74,False,https://i.scdn.co/image/ab67616d0000b2734a57b8b911a372d77dfc1ba7
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,"colombian pop, rap, hip hop",89,True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
Not Like Us,Kendrick Lamar,Not Like Us,"conscious hip hop, west coast rap, rap, hip hop",88,True,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,australian hip hop,87,False,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2
Pink + White,Frank Ocean,Blonde,"lgbtq+ hip hop, neo soul",86,False,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
on one tonight,Gunna,One of Wun,"melodic rap, atl hip hop, trap, rap",84,True,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,"atl hip hop, southern hip hop, hip hop, conscious hip hop, west coast rap, trap, rap",84,True,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Gang Baby,NLE Choppa,SLUT SZN,"rap, memphis hip hop",82,True,https://i.scdn.co/image/ab67616d0000b273fb769724a2ee34b9f4ba1c76
All The Stars (with SZA),"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,"r&b, pop, hip hop, conscious hip hop, west coast rap, rap",86,True,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888
Thinkin Bout You,Frank Ocean,channel ORANGE,"lgbtq+ hip hop, neo soul",84,False,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5
Don't,Bryson Tiller,T R A P S O U L,"r&b, rap, kentucky hip hop",83,True,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f
one of wun,Gunna,One of Wun,"melodic rap, atl hip hop, trap, rap",83,True,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5
Ivy,Frank Ocean,Blonde,"lgbtq+ hip hop, neo soul",83,True,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
Fuck Love,"XXXTENTACION, Trippie Redd",17,"miami hip hop, melodic rap, emo rap, trap, rap",84,True,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
No Role Modelz,J. Cole,2014 Forest Hills Drive,"conscious hip hop, north carolina hip hop, rap, hip hop",83,True,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Mmhmm,BigXthaPlug,THE BIGGEST,southern hip hop,79,True,https://i.scdn.co/image/ab67616d0000b2739afbbc313ea008b68cc5f40d
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"east coast hip hop, psychedelic hip hop, cloud rap, etherpop, metropopolis, instrumental hip hop, hip hop, experimental hip hop, rap",84,True,https://i.scdn.co/image/ab67616d0000b2732bb4bbf62bc82d2f4ce59397
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION","Come Over When You're Sober, Pt. 2","miami hip hop, cloud rap, lgbtq+ hip hop, emo rap, rap",84,False,https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319
Heartless,Kanye West,808s & Heartbreak,"chicago rap, rap, hip hop",83,False,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18
The Color Violet,Tory Lanez,Alone At Prom,"canadian hip hop, pop rap, r&b, melodic rap, canadian trap, trap, rap",83,False,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67
EARFQUAKE,"Tyler, The Creator",IGOR,"rap, hip hop",81,True,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,"pluggnb, slap house, rage rap, atl hip hop, southern hip hop, plugg, hip hop, trap, rap",83,True,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Lovin On Me,Jack Harlow,Lovin On Me,"pop rap, deep underground hip hop, hip hop, rap, kentucky hip hop",82,True,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
Feel Good Inc.,Gorillaz,Demon Days,"modern rock, alternative hip hop, rock",84,False,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf
HUMBLE.,Kendrick Lamar,DAMN.,"conscious hip hop, west coast rap, rap, hip hop",82,True,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
Back On My BS,BigXthaPlug,THE BIGGEST,southern hip hop,78,True,https://i.scdn.co/image/ab67616d0000b2739afbbc313ea008b68cc5f40d
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
In the End,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",87,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Numb,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",86,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
Everlong,Foo Fighters,The Colour And The Shape,"permanent wave, alternative metal, alternative rock, rock, post-grunge, modern rock",81,False,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
How You Remind Me,Nickelback,Silver Side Up,"post-grunge, canadian rock, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c
The Middle,Jimmy Eat World,Bleed American,"neon pop punk, pop rock, alternative metal, pop punk, modern power pop, alternative rock, punk, post-grunge, rock, emo, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
Chop Suey!,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",82,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve and Other Stories,"progressive metal, neo classical metal",77,False,https://i.scdn.co/image/ab67616d0000b273d8c41d1f95369e3658c00d28
Animal I Have Become,Three Days Grace,One-X,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",77,False,https://i.scdn.co/image/ab67616d0000b2739dcf31d6b5eb82fa24de783a
Kryptonite,3 Doors Down,The Better Life,"post-grunge, rock, nu metal, alternative metal",78,False,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
Break Stuff,Limp Bizkit,Significant Other,"alternative metal, funk metal, rock, post-grunge, rap metal, nu metal",80,True,https://i.scdn.co/image/ab67616d0000b2733783782de74f61e36795bf9c
Higher,Creed,Human Clay,"post-grunge, rock, nu metal, alternative metal",76,False,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
I Hate Everything About You,Three Days Grace,Three Days Grace,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",78,False,https://i.scdn.co/image/ab67616d0000b27377922eaa071fb388270f203f
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Toxicity,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Drive,Incubus,Make Yourself,"alternative metal, funk metal, alternative rock, rock, post-grunge, modern rock, nu metal, funk rock",78,False,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
Enter Sandman (Remastered),Metallica,Metallica (Remastered),"metal, hard rock, old school thrash, thrash metal, rock",74,False,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869
Faint,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",83,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
All The Small Things,blink-182,Enema Of The State,"socal pop punk, pop punk, alternative metal, punk, rock, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
Bring Me To Life,Evanescence,Fallen,alternative metal,83,False,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
Paranoid - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),"birmingham metal, hard rock, alternative metal, metal, uk doom metal, rock, classic rock, stoner rock, album rock",73,False,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
Jessie's Girl,Rick Springfield,Working Class Dog,"soft rock, glam metal, hard rock, new wave pop, classic rock, yacht rock, mellow gold, new romantic, australian rock, album rock",74,False,https://i.scdn.co/image/ab67616d0000b2734a57b8b911a372d77dfc1ba7
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,"contemporary country, country dawn, classic oklahoma country, classic texas country",85,False,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
Something in the Orange,Zach Bryan,Something in the Orange,classic oklahoma country,84,False,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb
Pink Skies,Zach Bryan,Pink Skies,classic oklahoma country,84,False,https://i.scdn.co/image/ab67616d0000b2731a2c9ac2d39bc5c2e22b9555
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",One Thing At A Time,"contemporary country, modern country pop",82,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Heading South,Zach Bryan,Heading South,classic oklahoma country,82,True,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,"yodeling, cowboy western, classic oklahoma country, traditional country",83,False,https://i.scdn.co/image/ab67616d0000b27335e9a6f6a1eded2062526499
Lies Lies Lies,Morgan Wallen,Lies Lies Lies,contemporary country,80,False,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e
I Never Lie,Zach Top,Cold Beer & Country Music,modern country pop,79,False,https://i.scdn.co/image/ab67616d0000b273e60cfb182df9bf24b4713edd
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),"country, contemporary country",82,False,https://i.scdn.co/image/ab67616d0000b27339808230102049beb62fdd7b
Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,contemporary country,80,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Sun to Me,Zach Bryan,American Heartbreak,classic oklahoma country,80,False,https://i.scdn.co/image/ab67616d0000b273ba30859a1ca79c5a372d177a
When It Rains It Pours,Luke Combs,This One's for You,"country, contemporary country",81,False,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,modern country pop,79,True,https://i.scdn.co/image/ab67616d0000b273201038e1f96d823bbe379336
Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),"country, contemporary country",80,False,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78
You Should Probably Leave,Chris Stapleton,Starting Over,"outlaw country, contemporary country",80,False,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98
Fast Car,Luke Combs,Gettin' Old,"country, contemporary country",82,False,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
Tennessee Whiskey,Chris Stapleton,Traveller,"outlaw country, contemporary country",81,False,https://i.scdn.co/image/ab67616d0000b273540fc1d083eac5bcff8dad21
Wasted On You,Morgan Wallen,Dangerous: The Double Album,contemporary country,78,False,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca
You Proof,Morgan Wallen,One Thing At A Time,contemporary country,78,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,"contemporary country, modern country pop",78,False,https://i.scdn.co/image/ab67616d0000b2730c5d03daf39f254bb546cf3a
Last Night,Morgan Wallen,One Thing At A Time,contemporary country,79,True,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
"Burn, Burn, Burn",Zach Bryan,"Burn, Burn, Burn",classic oklahoma country,78,False,https://i.scdn.co/image/ab67616d0000b273d66d5ec15dc03aa57b78f5ff
Devil You Know,Tyler Braden,Devil You Know,modern country pop,79,False,https://i.scdn.co/image/ab67616d0000b273ed2e13cb8cb02443ce91d8a4
Porch Light,Josh Meloy,Porch Light,"oklahoma country, classic oklahoma country, modern country pop, texas country",78,True,https://i.scdn.co/image/ab67616d0000b2739e917e93a50b83029871627c
28,Zach Bryan,The Great American Bar Scene,classic oklahoma country,79,False,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",91,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",86,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",Heavenly Eartha,"torch song, man's orchestra, vocal jazz",84,False,https://i.scdn.co/image/ab67616d0000b273cfbcba7cc35a40e08e5aff67
Deck The Hall,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",85,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",87,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",86,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Joy To The World,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",81,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Christmas Time Is Here,Vince Guaraldi Trio,Charlie Brown Holiday Hits,jazz trio,78,False,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Frosty The Snowman,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",81,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],jazz trio,80,False,https://i.scdn.co/image/ab67616d0000b273644aec058f5a108fac6ec0fb
Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",80,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
"Baby, It's Cold Outside",Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
Silver Bells,Dean Martin,The Dean Martin Christmas Album,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b273c7a9f0ea9b8bec1861217321
O Tannenbaum,Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],jazz trio,76,False,https://i.scdn.co/image/ab67616d0000b273644aec058f5a108fac6ec0fb
The Christmas Song (Merry Christmas To You),Nat King Cole,The Nat King Cole Story,"adult standards, soul, swing, easy listening, vocal jazz, lounge",79,False,https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701
"Caroling, Caroling",Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",76,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
A Marshmallow World,Dean Martin,The Dean Martin Christmas Album,"adult standards, easy listening, lounge, vocal jazz",77,False,https://i.scdn.co/image/ab67616d0000b273c7a9f0ea9b8bec1861217321
Have Yourself A Merry Little Christmas,Judy Garland,Meet Me In St. Louis,"torch song, adult standards, vocal jazz",75,False,https://i.scdn.co/image/ab67616d0000b2737a4455634c11f5b75d6e2999
September,"Earth, Wind & Fire",September (sped up + slowed),"soul, funk, jazz funk, motown, disco",81,False,https://i.scdn.co/image/ab67616d0000b2730faf2fc17446651865ce2282
Linus And Lucy,Vince Guaraldi Trio,Charlie Brown Holiday Hits,jazz trio,73,False,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Winter Wonderland,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",79,False,https://i.scdn.co/image/ab67616d0000b2732ead7786631d8dd3b59be4f0
Rudolph The Red-Nosed Reindeer,Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",80,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
